Nama,Angkatan,Kehadiran,Tugas,UTS,UAS,IPK,Prediksi
Mahasiswa_2020_59,2020,80,92,98,67,3.3,Telat
Mahasiswa_2020_60,2020,72,92,68,56,2.74,Telat
Mahasiswa_2020_61,2020,93,68,77,79,3.1,Tepat
Mahasiswa_2020_62,2020,71,78,60,69,2.73,Telat
Mahasiswa_2020_63,2020,86,75,62,66,2.74,Telat
Mahasiswa_2020_64,2020,88,93,81,70,3.19,Tepat
Mahasiswa_2020_65,2020,78,61,90,81,3.18,Tepat
Mahasiswa_2020_66,2020,97,94,95,98,3.85,Tepat
Mahasiswa_2020_67,2020,84,67,81,98,3.41,Tepat
Mahasiswa_2020_68,2020,78,96,85,68,3.19,Tepat
Mahasiswa_2020_69,2020,84,79,58,98,3.23,Telat
Mahasiswa_2020_70,2020,81,73,83,83,3.23,Tepat
Mahasiswa_2020_71,2020,75,71,65,63,2.66,Telat
Mahasiswa_2020_72,2020,76,68,82,55,2.71,Telat
Mahasiswa_2020_73,2020,89,85,64,64,2.83,Tepat
Mahasiswa_2020_74,2020,73,97,66,73,3.03,Tepat
Mahasiswa_2020_75,2020,80,66,74,60,2.7,Telat
Mahasiswa_2020_76,2020,86,73,77,80,3.13,Tepat
Mahasiswa_2020_77,2020,70,94,58,94,3.23,Tepat
Mahasiswa_2020_78,2020,85,72,56,91,3.04,Tepat
Mahasiswa_2020_79,2020,90,97,77,96,3.6,Tepat
Mahasiswa_2020_80,2020,92,98,59,65,2.9,Tepat
Mahasiswa_2020_81,2020,84,79,74,73,3.02,Telat
Mahasiswa_2020_82,2020,96,99,84,91,3.64,Tepat
Mahasiswa_2020_83,2020,98,74,86,84,3.36,Tepat
Mahasiswa_2020_84,2020,92,89,72,79,3.21,Tepat
Mahasiswa_2020_85,2020,83,72,88,60,2.92,Tepat
Mahasiswa_2020_86,2020,94,83,76,63,2.96,Telat
Mahasiswa_2020_87,2020,95,73,93,69,3.18,Tepat
Mahasiswa_2020_88,2020,95,60,86,81,3.19,Tepat
Mahasiswa_2020_89,2020,79,63,79,59,2.71,Telat
Mahasiswa_2020_90,2020,75,96,91,95,3.68,Telat
Mahasiswa_2020_91,2020,87,80,55,76,2.86,Tepat
Mahasiswa_2020_92,2020,85,82,80,78,3.2,Tepat
Mahasiswa_2020_93,2020,95,93,68,75,3.14,Tepat
Mahasiswa_2020_94,2020,86,74,57,64,2.64,Telat
Mahasiswa_2020_95,2020,87,64,63,58,2.54,Telat
Mahasiswa_2020_96,2020,93,96,90,88,3.63,Tepat
Mahasiswa_2020_97,2020,96,85,73,64,2.96,Tepat
Mahasiswa_2020_98,2020,81,74,63,60,2.63,Telat
Mahasiswa_2020_99,2020,75,64,61,98,3.11,Tepat
Mahasiswa_2020_100,2020,86,71,75,69,2.92,Telat
